Coptic Art,located_in,Brooklyn Museum
Coptic Art,located_in,the Metropolitan Museum
the Metropolitan Museum,located_in,New York
Brooklyn Museum,located_in,New York
Coptic Art,located_in,Louvre
Coptic Art,part_of,Egypt
Coptic Art,from_culture,Coptic Christian
John Beckwith,investigated,Coptic Art
Gary Vikan,investigated,Coptic Art
Coptic Art,stolen_from,Sheikh Ibada
Sheikh Ibada,located_in,Egypt
Coptic Art,located_in,Recklinghausen
Recklinghausen,located_in,Germany
Unearthing the Truth : Egypt ’,part_of,Coptic Art
Pagan and Coptic Sculpture ”,part_of,Coptic Art
Pagan and Coptic Sculpture,exhibited,the Brooklyn Museum
the Brooklyn Museum,exhibited,Unearthing the Truth : Egypt ’
Sarmizegetusa Regia,located_in,Romania
the Orastie Mountains,located_in,Romania
Sarmizegetusa Regia,from_culture,Dacia
Sarmizegetusa Regia,part_of,Dacian Fortresses
Dacian Fortresses,part_of,the Orastie Mountains
twentyeight,smuggled_antiquities_from,Sarmizegetusa Regia
twentyeight,smuggled_antiquities_to,Western Europe
twentyeight,smuggled_antiquities_to,the United States
Muchea Cetăţii,part_of,Sarmizegetusa Regia
Căprăreaţa Hill,part_of,Sarmizegetusa Regia
Six,was_in,Muchea Cetăţii
silver adornments,was_in,Muchea Cetăţii
One,was_in,Muchea Cetăţii
Christie,sold,One
Christie,sold,silver adornments
Ten,was_in,Căprăreaţa Hill
Marco Antonio Bailey,excavated,El Zotz
El Zotz,part_of,the San Miguel la Palotada National Park
the San Miguel la Palotada National Park,located_in,Guatemala
El Zotz,alias,Pa ’ Chan
El Zotz,alias,Dos Aguadas
El Zotz,from_culture,Calakmul
Looters,looted,El Zotz
Ian Graham,excavated,El Zotz
George Andrews,excavated,El Zotz
wooden lintel,stolen_by,Looters
a vase,stolen_by,Looters
Stephen Houston,investigated,El Zotz
wooden lintel,returned_to,Guatemala
wooden lintel,donated_to,the Denver Museum of Art
Stephen Houston,investigated,a vase
a vase,donated_to,the Mint Museum of Art
the Mint Museum of Art,located_in,Charlotte
Charlotte,located_in,North Carolina
a vase,donated_to,the Nasher Museum of Art
the Nasher Museum of Art,located_in,Duke University
UNESCO,president_of,Cara Sucia
Santiago Ignacio Barbarena,excavated,Cara Sucia
Mexico,bordered_by,the United States
the United States,part_of,UNESCO
UNESCO Convention,created_by,UNESCO
Cara Sucia,located_in,El Salvador
Guatemala,bordered_by,El Salvador
Ahuachapán,part_of,Guatemala
the Pacific Coast,part_of,Guatemala
Mexico,bordered_by,Guatemala
Cara Sucia,from_culture,the Cotzumalhuapa Culture
Herbert J Spinden,excavated,Cara Sucia
Alberto Luna,implicated_in,Cara Sucia
Alberto Luna,located_in,Mexico
the National Commission for Culture and Art ( CONCULTURA ),part_of,El Salvador
the National Foundation for Archaeology ( FUNDAR,part_of,El Salvador
the National Commission for Culture and Art  CONCULTURA,partners_with,the National Foundation for Archaeology ( FUNDAR
Paul Amaroli,investigated,Cara Sucia
Stanley Boggs,investigated,Cara Sucia
Cara Sucia,smuggled_to,the United States
Cara Sucia,smuggled_to,Japan
Cara Sucia,smuggled_to,Saudi Arabia
the United States,relationship_with,El Salvador
El Salvador,created_by,Emergency Import Restrictions
the United States,participated_in,Emergency Import Restrictions
the Cultural Property Implementation Act,part_of,Emergency Import Restrictions
Cara Sucia,restricted_by,the Cultural Property Implementation Act
the United States,part_of,Memorandum of Understanding
El Salvador,part_of,Memorandum of Understanding
Memorandum of Understanding,part_of,UNESCO Convention
five,worked_for,two
two,located_in,Baqiao District
the Western Han Empress Dou,located_in,Baqiao District
another gang,looted,tomb of
four,stolen_from,tomb of
200,stolen_from,tomb of
71,stolen_from,tomb of
five,looted,the Western Han Empress Dou
Baqiao District,located_in,Xi ’ an
local police,worked_for,Xi ’ an
tomb of,located_in,Xi ’ an
five,arrested_by,local police
another gang,arrested_by,local police
The Chinese Embassy,investigated,local police
another gang,located_in,"Qishan County , Baoji Prefecture"
Qishan County  Baoji Prefecture,located_in,Shaanxi Province
another gang,stole,four
local police,sold,four
another gang,stole,200
another gang,stole,71
another gang,smuggled_antiquities_to,Hong Kong
another gang,smuggled_antiquities_to,Guangzhou
